"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"55","sisään",1,57,"sisään",2.92646169662476,4.74457550048828,7.49065971374512,"sisään",366.851063829787,233.021276595745,213.936170212766,"-1",89301621,"fi","none",1563,7.354,6,8.71397471427917,12.9418344497681,30,71,6,6,5.06379985809326,7.22513675689697,7.50874137878418,8.49278736114502,1,1
"56","ja",1,58,"ja",2.1550989151001,3.161869764328,7.22992467880249,"ja",85.2978723404255,56.2127659574468,56.2127659574468,"-1",89301621,"fi","none",1896017,14.455,2,2.92646169662476,8.71397471427917,1563,30,6,6,4.74457550048828,5.06379985809326,7.49065971374512,7.50874137878418,1,1
"57","ulos",1,59,"ulos.",5.78189897537231,6.91884422302246,8.28677463531494,"ulos.",272.382978723404,245.808510638298,213.021276595745,"-1",89301621,"fi","none",2933,7.984,4,2.1550989151001,2.92646169662476,1896017,1563,2,6,3.161869764328,4.74457550048828,7.22992467880249,7.49065971374512,1,1
"58","Yleisesti",1,60,"Yleisesti",9.14739322662354,4.44936323165894,7.36143207550049,"Yleisesti",408.765957446808,327.489361702128,263.595744680851,"-1",89301621,"fi","none",744,6.612,9,5.78189897537231,2.1550989151001,2933,1896017,4,2,6.91884422302246,3.161869764328,8.28677463531494,7.22992467880249,1,1
"59","Janus",1,61,"Janus",3.29908314347267,4.11931705474854,7.37980175018311,"Janus",257.872340425532,172.531914893617,166.106382978723,"-1",89301621,"fi","none",74,4.304,5,9.14739322662354,5.78189897537231,744,2933,9,4,4.44936323165894,6.91884422302246,7.36143207550049,8.28677463531494,1,1
"60","symboloi",1,62,"symboloi",8.69380283355713,4.36868619918823,6.88650417327881,"symboloi",361.446808510638,286.446808510638,222.914893617021,"-1",89301621,"fi","none",522,6.258,8,3.29908314347267,9.14739322662354,74,744,5,9,4.11931705474854,4.44936323165894,7.37980175018311,7.36143207550049,1,1
"61","muutosta",1,63,"muutosta",9.27291965484619,6.63752794265747,8.20813083648682,"muutosta",488.489361702128,341.617021276596,250.127659574468,"-1",89301621,"fi","none",542,6.295,8,8.69380283355713,3.29908314347267,522,74,8,5,4.36868619918823,4.11931705474854,6.88650417327881,7.37980175018311,1,1
"62","ja",1,64,"ja",2.23948335647583,5.56533145904541,7.91690874099731,"ja",97.8297872340426,85.2978723404255,82.8510638297872,"-1",89301621,"fi","none",1896017,14.455,2,9.27291965484619,8.69380283355713,542,522,8,8,6.63752794265747,4.36868619918823,8.20813083648682,6.88650417327881,1,1
"63","siirtymää",1,65,"siirtymää,",13.6939324736595,6.59158992767334,8.17462825775146,"siirtymää,",530.957446808511,272.148936170213,210.765957446808,"-1",89301621,"fi","none",34,3.526,9,2.23948335647583,9.27291965484619,1896017,542,2,8,5.56533145904541,6.63752794265747,7.91690874099731,8.20813083648682,1,1
"64","kuten",1,66,"kuten",4.89923429489136,4.19100475311279,7.37527942657471,"kuten",179.808510638298,119.808510638298,116.829787234043,"-1",89301621,"fi","none",48634,10.792,5,13.6939324736595,2.23948335647583,34,1896017,9,2,6.59158992767334,5.56533145904541,8.17462825775146,7.91690874099731,1,1
"65","kehitystä",1,67,"kehitystä",11.807523727417,7.04609251022339,8.51322364807129,"kehitystä",553.531914893617,331.106382978723,216.340425531915,"-1",89301621,"fi","none",865,6.763,9,4.89923429489136,13.6939324736595,48634,34,5,9,4.19100475311279,6.59158992767334,7.37527942657471,8.17462825775146,1,1
"66","tilasta",1,68,"tilasta",11.8656058311462,3.57241535186768,7.36286067962646,"tilasta",476.787234042553,303.106382978723,263.489361702128,"-1",89301621,"fi","none",316,5.756,7,11.807523727417,4.89923429489136,865,48634,9,5,7.04609251022339,4.19100475311279,8.51322364807129,7.37527942657471,1,1
"67","toiseen",1,69,"toiseen,",2.83008182048798,3.39821076393127,7.19529008865356,"toiseen,",257.446808510638,179.659574468085,166.531914893617,"-1",89301621,"fi","none",4369,8.382,7,11.8656058311462,11.807523727417,316,865,7,9,3.57241535186768,7.04609251022339,7.36286067962646,8.51322364807129,1,1
"68","visiosta",1,70,"visiosta",13.1710269451141,5.49837398529053,8.04227256774902,"visiosta",538.297872340426,375.531914893617,260.957446808511,"-1",89301621,"fi","none",4,1.386,8,2.83008182048798,11.8656058311462,4369,316,7,7,3.39821076393127,3.57241535186768,7.19529008865356,7.36286067962646,1,1
"69","toiseen",1,71,"toiseen,",3.04390513896942,4.08264827728271,7.56738185882568,"toiseen,",363.765957446808,231.042553191489,217.276595744681,"-1",89301621,"fi","none",4369,8.382,7,13.1710269451141,2.83008182048798,4,4369,8,7,5.49837398529053,3.39821076393127,8.04227256774902,7.19529008865356,1,1
"70","sekä",1,72,"sekä",3.23413324356079,5.25099182128906,8.02241134643555,"sekä",94.1276595744681,86.3404255319149,80.8723404255319,"-1",89301621,"fi","none",161850,11.994,4,3.04390513896942,13.1710269451141,4369,4,7,8,4.08264827728271,5.49837398529053,7.56738185882568,8.04227256774902,1,1
"71","nuoren",1,73,"nuoren",8.66068840026855,7.12877082824707,8.46677494049072,"nuoren",393.404255319149,282.425531914894,207.851063829787,"-1",89301621,"fi","none",1781,7.485,6,3.23413324356079,3.04390513896942,161850,4369,4,7,5.25099182128906,4.08264827728271,8.02241134643555,7.56738185882568,1,1
"72","kasvamista",1,74,"kasvamista",11.3170113563538,5.56234073638916,7.86968898773193,"kasvamista",485.893617021277,291.191489361702,222.255319148936,"-1",89301621,"fi","none",36,3.584,10,8.66068840026855,3.23413324356079,1781,161850,6,4,7.12877082824707,5.25099182128906,8.46677494049072,8.02241134643555,1,1
"73","aikuiseksi",1,75,"aikuiseksi.",8.26662427186966,4.53289985656738,7.70657014846802,"aikuiseksi.",329.617021276596,255.425531914894,218.702127659574,"-1",89301621,"fi","none",138,4.927,10,11.3170113563538,8.66068840026855,36,1781,10,6,5.56234073638916,7.12877082824707,7.86968898773193,8.46677494049072,1,1
